temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.9,,,manual,manual,1624827957249,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,VqRx1O99oKQLGJvhLOCvcoMJcg6XcB,2021-06-27T21:05:57.249Z
19.4,,,manual,manual,1624810080000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,fADPks3j64GVOiBGB2pIBXNpbVeERg,2021-06-27T16:08:00.000Z
19,,,manual,manual,1624780284199,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,f3lSdtqawhIKZcnXq5MzM0AWM0KHvg,2021-06-27T07:51:24.199Z
19.5,,,manual,manual,1624740394655,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,KXOLRBpn9U1IK3S8C8WYk1NivCkuhV,2021-06-26T20:46:34.655Z
19.2,,,manual,manual,1624719535226,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,R39H3Gk5GQFj9e6g5DPRBxVD0br5ZT,2021-06-26T14:58:55.226Z
19.2,,,manual,manual,1624697580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,bM1mtkjuBVSEATNacRP42uosy5n6BD,2021-06-26T08:53:00.000Z
19.2,NaN,,manual,manual,1624657980000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,QjXJaipBt1cI5YAL49dVdTziMS1rBx,2021-06-25T21:53:00.000Z,NaN
19.1,,,manual,manual,1624614939886,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,EUTVCUdpS1XUcPpvohOWBRkle91pfH,2021-06-25T09:55:39.886Z,
19.4,,,manual,manual,1624565788731,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ZZQQC7ScFMqbKPKw7gFs21P1bTKDkL,2021-06-24T20:16:28.731Z,
19.2,,,manual,manual,1624534826772,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,x7ZDooXxZWi2LIQdR3EAZZvmaMDFg7,2021-06-24T11:40:26.772Z,
19.4,,,manual,manual,1624518000000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,FWqvRDmSH26BmlGvKOeEB050bT8FiF,2021-06-24T07:00:00.000Z,
19.8,,,manual,manual,1624481334967,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ewKlK8fHiwML1wI2lTtQc73OV8SVzd,2021-06-23T20:48:54.967Z,
19,,,manual,manual,1624460369253,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,28LIrlZgm0HPpz3lHU0S44yHpZNbrH,2021-06-23T14:59:29.253Z,
19.5,,,manual,manual,1624419692311,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,f9aORoBHZEc097xk4S0CvCN7wQ8H4z,2021-06-23T03:41:32.311Z,
19.1,,,manual,manual,1624384960946,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,7hVxFTlSZ4Mrfwz2Wqf31N9Zx385lk,2021-06-22T18:02:40.946Z,
19.2,,,manual,manual,1624336258600,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,xsFDVFWGxVzEB5aubQS1aamGflFgWR,2021-06-22T04:30:58.600Z,
19,,,manual,manual,1624302900000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,EldzNLdFX3tZkvj6sSX4O3JmsCfRvr,2021-06-21T19:15:00.000Z,
