temp,time,type,comment,id,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
16.5,1619990111110,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,CIszKrrD3iVxJXgzRSr6fsyqanX5OB,2021-05-02T21:15:11.110Z
17.3,1619971972565,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,QVuWWnjedb81Rfk3hiKYoqfszESDr4,2021-05-02T16:12:52.565Z
16.2,1619939847842,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hk7QQ1ZaTcT99mOFO1150vmyKZn4yC,2021-05-02T07:17:27.842Z
16.9,1619905136145,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,fS5chTlqz8uckdsnsSXZglyvOocQhM,2021-05-01T21:38:56.145Z
16.9,1619885081299,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Eq13UfPPAuQ9CvnUYY6PBIrnvBoxN9,2021-05-01T16:04:41.299Z
16.6,1619860107975,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Ns9mQU0myxLxSQlZBPzBbJaOUXvWOm,2021-05-01T09:08:27.975Z
16.6,1619809661038,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,r0lif3m0IZbNo2AdBIfKltu7u7BMmX,2021-04-30T19:07:41.038Z
16.5,1619778282051,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,HkbQxbaHX3n0atlID1iNW8BvZWcBJw,2021-04-30T10:24:42.051Z
16.4,1619762801841,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,PBwvCljPyMivCfU3zqAAFsX3rCpbWp,2021-04-30T06:06:41.841Z
16.4,1619733346682,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,RPXAR0Sj8KEz36EpGtwofGUiw5T2rM,2021-04-29T21:55:46.682Z
16.5,1619708905080,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,NFVuHoYZMeDl84RlqghBbTyc3eOcxc,2021-04-29T15:08:25.080Z
16.4,1619682315570,manual,,manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,e1jPTHsTS812Qn7vJl0REjjKnUf1f2,2021-04-29T07:45:15.570Z,NaN
16.3,1619645085962,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,owal5W5d18Nw7hdtZ9vPkFdkYolz0M,2021-04-28T21:24:45.962Z,
16.4,1619610333895,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,aNXFZ3vpP7DddDNWBX2RakY7fDBptQ,2021-04-28T11:45:33.895Z,
16.3,1619590728797,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,iHFNpAtSADFLZSbWzMLsKL1CYdNZzj,2021-04-28T06:18:48.797Z,
16.2,1619555918829,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,1R3BlxSIsQv6PQp04TRoYrcvCb1kyL,2021-04-27T20:38:38.829Z,
16.7,1619529937165,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,gmkEUPqMC3NfI46R1z30eDuZeFsmOP,2021-04-27T13:25:37.165Z,
16.7,1619507345154,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,CzQi7PHUW6cuTWj9qnToE5qvciDTtd,2021-04-27T07:09:05.154Z,
16.4,1619473200960,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hxpnXKmmuLGVvs6Wl3BEXH5kvHIty8,2021-04-26T21:40:00.960Z,
16,1619455750171,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,t6geCuiOsR4WbYGwJQ9B2HeW4p6MlD,2021-04-26T16:49:10.171Z,
16.9,1619434315704,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hkymwORSSPRgRIhdXXvIecZZ0xqcvF,2021-04-26T10:51:55.704Z,
16.7,1619418513175,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,wUWJi8itVeJlMDDPB9bspn7ALgaYmb,2021-04-26T06:28:33.175Z,
16.9,1619387114456,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,t3ZPEmKKQ0UIjffMDSoJXvzeupvPod,2021-04-25T21:45:14.456Z,
16.7,1619372097365,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,TF866tXLF8m5GQrfQceOOMy79zmUSn,2021-04-25T17:34:57.365Z,
16.2,1619346447477,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,h7U4QbjhadBbg13SmhTsofMZAMRcmf,2021-04-25T10:27:27.477Z,
16.4,1619334146480,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,UFoh1I5AIWNEvgFfmEgLGzmSjYOVDA,2021-04-25T07:02:26.480Z,
16.4,1619268025126,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,dbdu67i0vK8dP9qYvtA5WlUv9Simjp,2021-04-24T12:40:25.126Z,
16.3,1619251921079,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,r4ssol0AnkqNJcxdaJFiLIkch1piuZ,2021-04-24T08:12:01.079Z,
16.6,1619210861992,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,OC0Gs4oZxi0g27cOZGCSV3BgSb8zTU,2021-04-23T20:47:41.992Z,
16.7,1619196905790,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,SlueKeWrZyKiAtSCh2lhzxgVIZ6kWZ,2021-04-23T16:55:05.790Z,
16.7,1619174667703,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,AckRgu9lj1XBq9kuHU1TSHVQegR9Gw,2021-04-23T10:44:27.703Z,
16.6,1619150301635,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,FDUjJueAGn5artdD6A9qobd0uZj7xT,2021-04-23T03:58:21.635Z,
16.2,1619125308918,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,g1H5cCs3gfOBJ10tk4G3latjKG772d,2021-04-22T21:01:48.918Z,
16.1,1619104631917,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ZPhzwozVkOixGXRc4hWfUVAIhMisWa,2021-04-22T15:17:11.917Z,
16.9,1619088840019,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ALTWUOlacrY6vqn95LFhEoVUfOwdec,2021-04-22T10:54:00.019Z,
16.7,1619026524648,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,qKsBIpqTcPo7TMMOjTWhRNp23ecbpz,2021-04-21T17:35:24.648Z,
16.1,1619000740757,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,faNiLpVVm5DbF2QNfrgdEnMfjryERY,2021-04-21T10:25:40.757Z,
16.9,1618976913974,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,S7kKYn0z5xfm5EHqDGXsv1yJAx1eaX,2021-04-21T03:48:33.974Z,
16,1618950013246,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,3cP1KMTVUOKmsddlHPwzAxcuEkOU96,2021-04-20T20:20:13.246Z,
16.7,1618938175017,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,D5GZy1kKc5vH0vxdEqRiBjixPoP3LC,2021-04-20T17:02:55.017Z,
16.1,1618915475702,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Hp9VPXTXh1FheTuSUi67WEj3oENz9f,2021-04-20T10:44:35.702Z,
16.7,1618897771267,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,M5jUAAPNAvW9eUmCxka4iHiGkHxzzg,2021-04-20T05:49:31.267Z,
16.7,1618866577896,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,WHArVSmIDc8vCgD9Uf5AbhHF9ZaBda,2021-04-19T21:09:37.896Z,
16.3,1618850747319,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,g6SwMsDrHhYZBsiXtv6hNAAI1RCJab,2021-04-19T16:45:47.319Z,
15.4,1618831681228,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,fXa3j95c3WNBjOwDdGxJ7uUKOfnhbX,2021-04-19T11:28:01.228Z,
15.2,1618813543719,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,SMTiCfyrQTTE26vObLdPuZqAGYSzW3,2021-04-19T06:25:43.719Z,
15.7,1618765032096,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,mU52rZErRJ5fyJemdetyvltrrIMjCF,2021-04-18T16:57:12.096Z,
15.9,1618748707226,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,R1K0GDpkYeOZUyRtx9I1EA0ctrI0Qo,2021-04-18T12:25:07.226Z,
15.1,1618733594405,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,2KNRGWsWzSLhuLkOlgaXP3DZ4wS9zu,2021-04-18T08:13:14.405Z,
15.9,1618698496432,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,VJP88FrDpPzOTKacBxMSl5oxTP8mXX,2021-04-17T22:28:16.432Z,
15,1618666245979,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,UDlio6MHwvZ4zgBDRO24gtGHVcWGhu,2021-04-17T13:30:45.979Z,
15.7,1618643474544,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ByC9C8XLDAVD4NuqqMfK9nskx5a1uH,2021-04-17T07:11:14.544Z,
15.3,1618594551532,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,7sYHTCFG5qzZxlWwxNbqek6heI5T2n,2021-04-16T17:35:51.532Z,
15.6,1618569651540,manual,,manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,inOVIGDqLhqNm9bO2tS5x8WCrG411N,2021-04-16T10:40:51.540Z,NaN,
15.7,1618554300000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kVG8nxgTLKXxiBhpTMcjyMMrwQvMrL,2021-04-16T06:25:00.000Z,,
15.9,1618521499213,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,XP8Sq8qVWwndbCmcRanOgPrIHbjvdY,2021-04-15T21:18:19.213Z,,
15.6,1618494600000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,69VlzIobp6hWhmY7SqTSl0LuH8jOLu,2021-04-15T13:50:00.000Z,,
15.7,1618463655140,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,zojG5cPdTezG5bw4vjs9LNXwvMqoCk,2021-04-15T05:14:15.140Z,,
15.9,1618436345597,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MTHJpKuZK7keQPq0vcUmSnpD30DoI8,2021-04-14T21:39:05.597Z,,
15.4,1618380809108,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4IH9LDHcwB5NFcMKUrOAlJZ5xqsEbl,2021-04-14T06:13:29.108Z,,
15.2,1618341813621,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hXQVirmFJUzd391oMZ1rItcUAsqOgl,2021-04-13T19:23:33.621Z,,
15.9,1618308782760,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,GyDAQRtXxtTjtvRfp8ZTwyvN5AkzQC,2021-04-13T10:13:02.760Z,,
15.4,1618293354663,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,1ruwt6wcFNWQM2TcaiEfzr4xyqAQ9U,2021-04-13T05:55:54.663Z,,
15.7,1618260812702,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ACf2qqntpXJ2XBTDR7tN7mFMoRSslC,2021-04-12T20:53:32.702Z,,
15.7,1618242201707,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,09lZcg0Z0kWJV7RjgDn2P8cbhbQWOg,2021-04-12T15:43:21.707Z,,
15.6,1618227849609,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,mrrj53oikolsYwPYo7hDXEfvQANOYw,2021-04-12T11:44:09.609Z,,
15.2,1618207610595,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4MXqwrKZYDRLzuJn61qhs9JMeRohuY,2021-04-12T06:06:50.595Z,,
15.3,1618168356476,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ssZaGvSDXj5RiYvu3o0oL8G9uJTX5q,2021-04-11T19:12:36.476Z,,
15.6,1618140658884,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,lkIj0l1nYjzQFwPprBR8uCFrOmU9JJ,2021-04-11T11:30:58.884Z,,
15.7,1618126512739,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DlzkhHMYDjMrlZ7mmk6NYGAikCTUGh,2021-04-11T07:35:12.739Z,,
15,1618083586686,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,c3dSlqYy6ipyPLmWAwQSUh1IbICJsS,2021-04-10T19:39:46.686Z,,
15.8,1618062877977,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,E6WXXRv86EIlAgwJr85v0L5GTrabCw,2021-04-10T13:54:37.977Z,,
15.7,1618040190721,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,OhcmIWV3UFVcUWc5U9peAiGF6Tgep3,2021-04-10T07:36:30.721Z,,
15.2,1617996744932,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,BV4PavU1qiSv4XfeyJYNR1pQFrkIBC,2021-04-09T19:32:24.932Z,,
